State,temperature
Alabama,66.8
Alaska,29
Arizona,66.4
Arkansas,59.6
California,66.5
Colorado,47.3
Connecticut,53.8
Delaware,60.8
Florida,77.2
Georgia,68.6
Hawaii,80.0
Idaho,45.4
Illinois,52.1
Indiana,53.2
Iowa,46
Kansas,52.5
Kentucky,57.8
Louisiana,68.3
Maine,44.7
Maryland,59.3
Massachusetts,52.3
Michigan,44.3
Minnesota,38.9
Mississippi,65.9
Missouri,53.5
Montana,39.4
Nebraska,46.4
Nevada,55.2
New Hampshire,46.9
New Jersey,57.1
New Mexico,56.5
New York,48.9
North Carolina,63.2
North Dakota,37.8
Ohio,53.4
Oklahoma,58.3
Oregon,51.3
Pennsylvania,52.2
Rhode Island,54.4
South Carolina,67.5
South Dakota,41.4
Tennessee,60.5
Texas,65.9
Utah,52.2
Vermont,46.3
Virginia,59.1
Washington,48.3
West Virginia,55.4
Wisconsin,41.2
Wyoming,41.3
District of Columbia,58.7
